Angle,Steps
-7.66,0
-6.92,0
-6.29,0
-5.72,0
-5.21,0
-4.77,0
-4.39,0
-4.04,0
-3.73,0
-3.45,0
-3.18,0
-2.93,0
-2.69,0
-2.47,0
-2.27,0
-2.08,0
-1.89,0
-1.72,0
-1.57,0
-1.41,0
-1.29,0
-1.18,0
-1.06,0
-1.02,0
-1.03,0
-1.04,0
-1.01,0
-1.02,0
-1.1,0
-1.17,0
-1.22,0
-1.28,0
-1.37,0
-1.46,0
-1.56,0
-1.64,0
-1.73,0
-1.8,0
-1.89,0
-1.93,0
-1.98,0
-2.03,0
-2.08,0
-2.14,0
-2.16,0
-2.22,0
-2.27,0
-2.33,0
-2.37,0
-2.4,0
-2.42,0
-2.44,0
-2.45,0
-2.43,0
-2.43,0
-2.45,0
-2.43,0
-2.42,0
-2.4,0
-2.4,0
-2.39,0
-2.43,0
-2.44,0
-2.45,0
-2.44,0
-2.39,0
-2.32,0
-2.29,0
-2.25,0
-2.27,0
-2.24,0
-2.2,0
-2.17,0
-2.16,0
-2.12,0
-2.09,0
-2.04,0
-2.02,0
-1.99,0
-1.97,0
-1.94,0
-1.91,0
-1.83,0
-1.77,0
-1.67,0
-1.56,0
-1.41,0
-1.25,0
-1.09,0
-0.93,0
-0.73,0
-0.55,0
-0.33,0
-0.06,0
0.26,0
0.52,0
0.85,0
1.14,0
1.44,0
1.72,0
1.95,0
2.1,0
2.29,0
2.4,0
2.47,0
2.49,0
2.52,0
2.5,0
2.49,0
2.38,0
2.22,0
1.99,0
1.79,0
1.56,0
1.38,0
1.17,0
1.03,0
0.8,0
0.58,0
0.37,0
0.17,0
-0.03,0
-0.18,0
-0.35,0
-0.45,0
-0.56,0
-0.59,0
-0.65,0
-0.71,0
-0.78,0
-0.82,0
-0.82,0
-0.87,0
-0.81,0
-0.84,0
-0.8,0
-0.8,0
-0.78,0
-0.77,0
-0.7,0
-0.68,0
-0.6,0
-0.59,0
-0.52,0
-0.49,0
-0.43,0
-0.41,0
-0.37,0
-0.36,0
-0.29,0
-0.33,0
-0.32,0
-0.36,0
-0.4,0
-0.48,0
-0.53,0
-0.55,0
-0.51,0
-0.49,0
-0.41,0
-0.36,0
-0.27,0
-0.19,0
-0.06,0
0.2,0
1.35,0
4.22,0
